1,CAPITULO PRIMEIRO
2,DO TITULO
3,Uma noite destas vindo da cidade para o Engenho Novo encontrei no trem da Central um rapaz aqui do bairro que eu conhego de vista e de chapeu
4,Cumprimentou-me fez-se de acaso sentou-se ao pe de mim falou da lua e dos ministros e acabou recitando-me versos
5,A viagem era curta e os versos pode ser que nao fossem inteiramente maus
6,Sucedeu porem que como eu estava cansado fechei os olhos tres ou quatro vezes
7,Tanto bastou para que ele interrompesse os versos e me perguntasse se nao gostava de poesia
8,Murmureji que sim
9,Ele entao recitou mais e pediu-me que lhe dissesse francamente se nao achava sublimes os seus poemas
10,No entanto eu amo a poesia como se ama a comida — mais por necessidade que por gosto
11,Voce parece que nao gosta de poesia disse ele um pouco desapontado
12,Sou assim desde pequeno apontei
13,Ele olhou-me desconfiado mas nao disse nada
14,E virou-se para a janela suspirando
15,Ali ficou calado ate o fim da viagem
16,CAPITULO II
17,DO LIVRO
18,Agora que expliquei o titulo resta-me dizer que a minha intencao era apenas a de imitar um quadro famoso que vi em Roma
19,Nao me lembro bem o pintor mas era italiano e o quadro era uma Madona
20,De Roma voltei para o Engenho Novo com tantas saudades que me propus nao sair mais dali
21,A casa em que moro e propria e foi construida por minha ordem
22,Um pedreiro ofereceu-se para me fazer igual a de la e eu lhe encomendei a obra
23,Tudo saiu ao contrario do que eu esperava
24,Mas como eu gostava dos tempos que passara resolvi reconstruir ao menos a lembranca
25,Voce sabe que as vezes as velhas casas guardam coisas preciosas
26,A minha nao guardava nada — era simples por fora e vazia por dentro
27,Mas a vontade era grande e assim comecei a escrever estas paginas
28,Supri tudo que faltava com flores colhidas no jardim da imaginacao
29,O resultado e que tudo aqui me conta uma historia embora nem sempre a mesma
30,Porque a verdade nao e uma so — cada um carrega a sua
