chave_primaria,grape_synonym,grape_country,vinho,chave_estrangeira,origem,tipo,estilo
Agiorgitiko,"Aghiorghitico, Aghiorghitiko, Nemeas Mavro, Nemeas Mavroudi, St.George.",Greece,"Kintonis Winery Agiorgitiko 2021, Peloponnese",Agiorgitiko,Greece,Red,Savoury & Full Bodied
Aglianico,"Aglianco di puglia, Aglianica, Aglianichella, Aglianichello, Aglianico amaro, Aglianico crni, Aglianico del vulture, Aglianico di castellaneta, Aglianico di taurasi, Aglianico femminile, Aglianico mascolino, Aglianico nero, Aglianico pannarano, Aglianico tringarulo, Aglianico zerpoluso, Aglianico zerpuloso, Aglianicuccia, Agliano, Agliatica, Agliatico, Agnanico, Agnanico di castellaneta, Alianiko, Cascavoglia, Cerasole, Ellanico, Ellenico, Fiano rosso, Fresella, Gagliano, Ghiandara, Ghianna, Ghiannara, Glianica, Gnanica, Gnanico, Granica, Granico, Olivella di san cosmo, Prie blanc, Ruopolo, Spriema, Tringarulo, Uva catellaneta, Uva dei cani, Uva di castellaneta, Uva nera.","Italy, Basilicata and Campania",Vignali Aglianico del Vulture 2018/19,Aglianico,Italy,Red,Bold & Spicy
Aligoté,"Aligotay, Alligotay, Alligoté, Blanc de Troyes, Carcairone blanc, Carcarone, Carchierone, Chaudenet, Chaudenet Gras, Giboudot blanc, Griset blanc, Karkarone Blank, Melon de Jura, Muhranuli, Mukhranudi, Pistone, Plant de Trois, Plant de Trois Raisins, Plant gris, Purion blanc, Selon Molon, Selon Odart, Troyen blanc, Vert blanc.",France (Burgundy),Moillard-Thomas Bourgogne Aligoté 2022,Aligoté,France,White,Light & Elegant
Bacchus,"Bacchus Weiss, Weisser Bacchus, Frühe Scheurebe, Geilweilerhof 33-29-133 and Gf. 33-29-133.",Germany,"Chapel Down 'A Touch of Sparkle' 2021/22, Kent",Bacchus,England,White,Crisp & Fruity
Bacchus,"Bacchus Weiss, Weisser Bacchus, Frühe Scheurebe, Geilweilerhof 33-29-133 and Gf. 33-29-133.",Germany,"Balfour ‘The White’ 2021, Kent",Bacchus,England,White,Crisp & Zesty
Bacchus,"Bacchus Weiss, Weisser Bacchus, Frühe Scheurebe, Geilweilerhof 33-29-133 and Gf. 33-29-133.",Germany,"Definition Bacchus 2021/22, England",Bacchus,England,White,Aromatic & Floral
Bacchus,"Bacchus Weiss, Weisser Bacchus, Frühe Scheurebe, Geilweilerhof 33-29-133 and Gf. 33-29-133.",Germany,"Chapel Down Bacchus 2021/22, Kent",Bacchus,England,White,Aromatic & Floral
Barbera,"Barbera Amaro, Barber a Raspo Rosso, Barbera a Peduncolo Rosso, Barbera a Peduncolo verde, Barbera a Raspo verde, Barbera Crna, Barbera d'Asti, Barbera dolce, Barbera fina, Barbera forte, Barbera grossa, Barbera Mercantile, Barbera Monferrato, Barbera nera, Barbera Nostrana, Barbera riccia, Barbera Rissa, Barbera rosa, Barbera vera, Barberone, Besagno, Cosses Barbusen, Gaietto, Lombardesca, Ughetta",Italy,Tenuta Olim Bauda ‘Era’ Barbera D’Asti DOCG 2019,Barbera,Italy,Red,Savoury & Full Bodied
Barbera,"Barbera Amaro, Barber a Raspo Rosso, Barbera a Peduncolo Rosso, Barbera a Peduncolo verde, Barbera a Raspo verde, Barbera Crna, Barbera d'Asti, Barbera dolce, Barbera fina, Barbera forte, Barbera grossa, Barbera Mercantile, Barbera Monferrato, Barbera nera, Barbera Nostrana, Barbera riccia, Barbera Rissa, Barbera rosa, Barbera vera, Barberone, Besagno, Cosses Barbusen, Gaietto, Lombardesca, Ughetta",Italy,"Araldica Barbera d'Asti DOCG 2019/20, Italy",Barbera,Italy,Red,Soft & Fruity
Barbera,"Barbera Amaro, Barber a Raspo Rosso, Barbera a Peduncolo Rosso, Barbera a Peduncolo verde, Barbera a Raspo verde, Barbera Crna, Barbera d'Asti, Barbera dolce, Barbera fina, Barbera forte, Barbera grossa, Barbera Mercantile, Barbera Monferrato, Barbera nera, Barbera Nostrana, Barbera riccia, Barbera Rissa, Barbera rosa, Barbera vera, Barberone, Besagno, Cosses Barbusen, Gaietto, Lombardesca, Ughetta",Italy,"De Forville Barbera D'Alba 2021, Piedmont",Barbera,Italy,Red,Smooth & Mellow
